,name,line
0,Sheldon," So if a photon is directed through a plane with two slits in it and either slit is observed it will not go through both slits. If it's unobserved it will, however, if it's observed after it's left the plane but before it hits its target, it will not have gone through both slits."
1,Leonard," Agreed, what's your point?"
2,Sheldon," There's no point, I just think it's a good idea for a tee-shirt."
3,Leonard, Excuse me?
4,Receptionist, Hang on.
5,Leonard," One across is Aegean, eight down is Nabakov, twenty-six across is MCM, fourteen down is... move your finger... phylum, which makes fourteen across Port-au-Prince. See, Papa Doc's capital idea, that's Port-au-Prince. Haiti."
6,Receptionist, Can I help you?
7,Leonard," Yes. Um, is this the High IQ sperm bank?"
8,Receptionist," If you have to ask, maybe you shouldn't be here."
9,Sheldon, I think this is the place.
10,Receptionist, Fill these out.
11,Leonard, Thank-you. We'll be right back.
12,Receptionist," Oh, take your time. I'll just finish my crossword puzzle. Oh wait."
13,Sheldon," Leonard, I don't think I can do this."
14,Leonard," What, are you kidding? You're a semi-pro."
15,Sheldon," No. We are committing genetic fraud. There's no guarantee that our sperm is going to generate high IQ offspring, think about that. I have a sister with the same basic DNA mix who hostesses at Fuddruckers."
16,Leonard," Sheldon, this was your idea. A little extra money to get fractional T1 bandwidth in the apartment."
17,Sheldon," I know, and I do yearn for faster downloads, but there's some poor woman is going to pin her hopes on my sperm, what if she winds up with a toddler who doesn't know if he should use an integral or a differential to solve the area under a curve."
18,Leonard, I'm sure she'll still love him.
19,Sheldon, I wouldn't.
20,Leonard," Well, what do you want to do?"
21,Sheldon, I want to leave.
22,Leonard, Okay.
23,Sheldon, What's the protocol for leaving?
24,Leonard," I don't know, I've never reneged on a proffer of sperm before."
25,Sheldon, Let's try just walking out.
26,Leonard, Okay.
27,Receptionist, Bye.
28,Sheldon, Bye-bye
29,Leonard, See you.
30,Sheldon, Are you still mad about the sperm bank?
31,Leonard, No.
32,Sheldon, You want to hear an interesting thing about stairs?
33,Leonard, Not really.
34,Sheldon," If the height of a single step is off by as little as two millimetres, most people will trip."
35,Leonard, I don't care. Two millimetres? That doesn't seem right.
36,Sheldon," No, it's true, I did a series of experiments when I was twelve, my father broke his clavicle."
37,Leonard, Is that why they sent you to boarding school?
38,Sheldon," No, that was the result of my work with lasers."
39,Leonard, New neighbour?
40,Sheldon, Evidently.
41,Leonard, Significant improvement over the old neighbour.
42,Sheldon," Two hundred pound transvestite with a skin condition, yes she is."
43,Penny," Oh, hi!"
44,Leonard, Hi.
45,Sheldon, Hi.
46,Leonard, Hi.
47,Sheldon, Hi.
48,Penny, Hi?
49,Leonard," We don't mean to interrupt, we live across the hall."
50,Penny," Oh, that's nice."
51,Leonard," Oh... uh... no... we don't live together... um... we live together but in separate, heterosexual bedrooms."
52,Penny," Oh, okay, well, guess I'm your new neighbour, Penny."
53,Leonard," Leonard, Sheldon."
54,Penny, Hi.
55,Leonard, Hi.
56,Sheldon, Hi.
57,Penny, Hi.
58,Leonard," Hi. Well, uh, oh, welcome to the building."
59,Penny," Thankyou, maybe we can have coffee sometime."
60,Leonard," Oh, great."
61,Penny, Great.
62,Sheldon, Great.
63,Leonard," Great. Well, bye."
64,Penny, Bye.
65,Sheldon, Bye.
66,Leonard, Bye.
67,Leonard, Should we have invited her for lunch?
68,Sheldon, No. We're going to start Season Two of Battlestar Galactica.
69,Leonard, We already watched the Season Two DVDs.
70,Sheldon, Not with commentary.
71,Leonard," I think we should be good neighbours, invite her over, make her feel welcome."
72,Sheldon, We never invited Louis-slash-Louise over.
73,Leonard," Well, then that was wrong of us. We need to widen our circle."
74,Sheldon, I have a very wide circle. I have 212 friends on myspace.
75,Leonard," Yes, and you've never met one of them."
76,Sheldon, That's the beauty of it.
77,Leonard, I'm going to invite her over. We'll have a nice meal and chat.
78,Sheldon, Chat? We don't chat. At least not offline.
79,Leonard," Well it's not difficult, you just listen to what she says and then you say something appropriate in response."
80,Sheldon, To what end?
81,Leonard, Hi. Again.
82,Penny, Hi.
83,Sheldon, Hi.
84,Leonard, Hi.
85,Penny, Hi.
86,Leonard," Anyway, um. We brought home Indian food. And, um. I know that moving can be stressful, and I find that when I'm undergoing stress, that good food and company can have a comforting effect. Also, curry is a natural laxative, and I don't have to tell you that, uh, a clean colon is just one less thing to worry about."
87,Sheldon," Leonard, I'm not expert here but I believe in the context of a luncheon invitation, you might want to skip the reference to bowel movements."
88,Penny," Oh, you're inviting me over to eat?"
89,Leonard," Uh, yes."
90,Penny," Oh, that's so nice, I'd love to."
91,Leonard, Great.
92,Penny," So, what do you guys do for fun around here?"
93,Sheldon," Well, today we tried masturbating for money."
94,Leonard," Okay, well, make yourself at home."
95,Penny," Okay, thankyou."
96,Leonard, You're very welcome.
97,Penny," This looks like some serious stuff, Leonard, did you do this?"
98,Sheldon, Actually that's my work.
99,Penny, Wow.
100,Sheldon," Yeah, well, it's just some quantum mechanics, with a little string theory doodling around the edges. That part there, that's just a joke, it's a spoof of the Bourne-Oppenheimer approximation."
101,Penny," So you're like, one of those, beautiful mind genius guys."
102,Sheldon, Yeah.
103,Penny, This is really impressive.
104,Leonard," I have a board. If you like boards, this is my board."
105,Penny, Holy smokes.
106,Sheldon," If by holy smokes you mean a derivative restatement of the kind of stuff you can find scribbled on the wall of any men's room at MIT, sure."
107,Leonard, What?
108,Sheldon," Oh, come on. Who hasn't seen this differential below “here I sit broken hearted?”"
