,name,line
0,Eliza,How do you do.  Please tell me your problem.
1,Sheldon," So if a photon is directed through a plane with two slits in it and either slit is observed it will not go through both slits. If it's unobserved it will, however, if it's observed after it's left the plane but before it hits its target, it will not have gone through both slits."
2,Eliza,Do you think its likely that it's observed after it's left the plane but before it hits its target ?
3,Leonard," Agreed, what's your point?"
4,Eliza,Why are you concerned over my point? ?
5,Sheldon," There's no point, I just think it's a good idea for a tee-shirt."
6,Eliza,Are you saying no just to be negative?
7,Leonard, Excuse me?
8,Eliza,I'm not sure I understand you fully.
9,Receptionist, Hang on.
10,Eliza,Please go on.
11,Leonard," One across is Aegean, eight down is Nabakov, twenty-six across is MCM, fourteen down is... move your finger... phylum, which makes fourteen across Port-au-Prince. See, Papa Doc's capital idea, that's Port-au-Prince. Haiti."
12,Eliza,What about your own finger ?
13,Receptionist, Can I help you?
14,Eliza,Whether or not you can help you? depends on you more than me.
15,Leonard," Yes. Um, is this the High IQ sperm bank?"
16,Eliza,You seem to be quite positive.
17,Receptionist," If you have to ask, maybe you shouldn't be here."
18,Eliza,Do you wish that I have to ask ?
19,Sheldon, I think this is the place.
20,Eliza,You say you think this is the place ?
21,Receptionist, Fill these out.
22,Eliza,What does that suggest to you ?
23,Leonard, Thank-you. We'll be right back.
24,Eliza,Do you feel strongly about discussing such things ?
25,Receptionist," Oh, take your time. I'll just finish my crossword puzzle. Oh wait."
26,Eliza,Your crossword puzzle ?
27,Sheldon," Leonard, I don't think I can do this."
28,Eliza,Don't you really think you can do this ?
29,Leonard," What, are you kidding? You're a semi-pro."
30,Eliza,Why do you ask ?
31,Sheldon," No. We are committing genetic fraud. There's no guarantee that our sperm is going to generate high IQ offspring, think about that. I have a sister with the same basic DNA mix who hostesses at Fuddruckers."
32,Eliza,In what way ?
33,Leonard," Sheldon, this was your idea. A little extra money to get fractional T1 bandwidth in the apartment."
34,Eliza,Are you worried about someone else's idea ?
35,Sheldon," I know, and I do yearn for faster downloads, but there's some poor woman is going to pin her hopes on my sperm, what if she winds up with a toddler who doesn't know if he should use an integral or a differential to solve the area under a curve."
36,Eliza,What do you know about he should use an integral or a differential to solve the area under a curve ?
37,Leonard, I'm sure she'll still love him.
38,Eliza,Is it because you are sure she'll still love him that you came to me ?
39,Sheldon, I wouldn't.
40,Eliza,Can you elaborate on that ?
41,Leonard," Well, what do you want to do?"
42,Eliza,Does that question interest you ?
43,Sheldon, I want to leave.
44,Eliza,What would it mean to you if you got to leave ?
45,Leonard, Okay.
46,Eliza,Lets discuss further why your crossword puzzle .
47,Sheldon, What's the protocol for leaving?
48,Eliza,I'm not sure I understand you fully.
49,Leonard," I don't know, I've never reneged on a proffer of sperm before."
50,Eliza,Why don't you know ?
51,Sheldon, Let's try just walking out.
52,Eliza,Please go on.
53,Leonard, Okay.
54,Eliza,What does that suggest to you ?
55,Receptionist, Bye.
56,Eliza,Do you feel strongly about discussing such things ?
57,Sheldon, Bye-bye
58,Eliza,I'm not sure I understand you fully.
59,Leonard, See you.
60,Eliza,We were discussing you -- not me.
61,Sheldon, Are you still mad about the sperm bank?
62,Eliza,Why are you interested in whether I am still mad about the sperm bank? or not ?
63,Leonard, No.
64,Eliza,You are being a bit negative.
65,Sheldon, You want to hear an interesting thing about stairs?
66,Eliza,"Oh, I want to hear an interesting thing about stairs? ?"
67,Leonard, Not really.
68,Eliza,Please go on.
69,Sheldon," If the height of a single step is off by as little as two millimetres, most people will trip."
70,Eliza,"Really, if the height of a single step is off by as little as two millimetres ?"
71,Leonard, I don't care. Two millimetres? That doesn't seem right.
72,Eliza,Do you wish to be able to care ?
73,Sheldon," No, it's true, I did a series of experiments when I was twelve, my father broke his clavicle."
74,Eliza,Were you really ?
75,Leonard, Is that why they sent you to boarding school?
76,Eliza,What is it you really wanted to know ?
77,Sheldon," No, that was the result of my work with lasers."
78,Eliza,Why do you say your work with lasers ?
79,Leonard, New neighbour?
80,Eliza,Earlier you said your work with lasers .
81,Sheldon, Evidently.
82,Eliza,What does that suggest to you ?
83,Leonard, Significant improvement over the old neighbour.
84,Eliza,Do you feel strongly about discussing such things ?
85,Sheldon," Two hundred pound transvestite with a skin condition, yes she is."
86,Eliza,You are sure.
87,Penny," Oh, hi!"
88,Eliza,I'm not sure I understand you fully.
89,Leonard, Hi.
90,Eliza,Please go on.
91,Sheldon, Hi.
92,Eliza,What does that suggest to you ?
93,Leonard, Hi.
94,Eliza,Do you feel strongly about discussing such things ?
95,Sheldon, Hi.
96,Eliza,I'm not sure I understand you fully.
97,Penny, Hi?
98,Eliza,Please go on.
99,Leonard," We don't mean to interrupt, we live across the hall."
100,Eliza,What does that suggest to you ?
101,Penny," Oh, that's nice."
102,Eliza,Do you feel strongly about discussing such things ?
103,Leonard," Oh... uh... no... we don't live together... um... we live together but in separate, heterosexual bedrooms."
104,Eliza,Why not ?
105,Penny," Oh, okay, well, guess I'm your new neighbour, Penny."
106,Eliza,How long have you been my new neighbour ?
107,Leonard," Leonard, Sheldon."
108,Eliza,I'm not sure I understand you fully.
109,Penny, Hi.
110,Eliza,Please go on.
111,Leonard, Hi.
112,Eliza,What does that suggest to you ?
113,Sheldon, Hi.
114,Eliza,Do you feel strongly about discussing such things ?
115,Penny, Hi.
116,Eliza,I'm not sure I understand you fully.
